stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,0,0,1.34,0,1.34,2.68,0,0,0,0,0,0
3Month,0.64,3.52,0.32,0.32,9.28,1.28,0.32,1.6,0.96,0,0,0.32,0.32,0,0,0,0.64,0.32,0,0.32,0
22Month,0,0.55,0,0.55,5.47,0,0,0.55,0,1.09,0.55,0,0,0,0,0,0,0,0.55,0,0.55
