stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,32.69,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,3.21,9.63,1.07,6.42,0,0,0,0,1.07,0,1.07,20.33,2.14,16.05,0,0,0,1749.11,57.77,1.07,9.63,18.19,1.07,0,9.63,0,2.14,1.07,0,0
21Day,6.69,0,8.03,0,13.39,0,0,1.34,0,2.68,2.68,0,8.03,4.02,6.69,0,0,1.34,497.93,6.69,0,8.03,6.69,8.03,0,4.02,4.02,4.02,1.34,0,2.68
3Month,0,0,0.64,0.32,0,0.32,0,2.56,0.64,0,0.32,0.32,0.32,1.92,0.96,0.32,0,0,6.72,0,0.96,0.32,0,0,6.08,0,0,0,0,11.2,0.64
22Month,0.55,0.55,0,0,0,0.55,1.09,8.75,0,0,0.55,0,0,1.09,0.55,0.55,0.55,0.55,3.28,0,0.55,1.64,0.55,0,1.09,0,0,0,0,0.55,0
