stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,1.07,0,18.19,11.77,0,0,0,1.07,0,0,2.14,0,0,0,0,0,0
21Day,0,1.34,1.34,1.34,4.02,0,0,0,0,0,22.76,0,1.34,0,2.68,2.68,0,0,0,0,12.05,2.68,1.34,0,0,1.34,2.68,0,0,0,1.34,1.34,0,0,33.46
3Month,0.32,0.96,0.64,22.72,0,0.64,2.56,5.12,16.64,3.2,8.96,28.8,0.64,6.08,9.6,7.36,1.92,0,1.6,0.96,0.64,0.32,2.24,0.64,0,1.6,2.24,51.51,0.64,0,0,0,2.88,10.56,187.17
22Month,0,2.19,0,6.56,0,0.55,1.09,9.29,44.83,2.73,7.11,26.24,0,2.73,15.31,7.65,0,0.55,4.37,0,1.09,0,1.09,1.64,1.09,0,0.55,12.03,0.55,0.55,0,0,0,0,79.26
