stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,0,18.19,7.49,0,1.07,0,5.35,0,0,0,1.07,0,0
21Day,2.68,0,5.35,0,1.34,0,0,0,0,0,4.02,1.34,9.37,0,0,2.68,0,9.37,2.68,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0,0.64,6.4,0.64,0.32,0.64,57.91,0.64,5.12,0.64,0.64,0.32,0.32,0.32,0.32,0.64,0.32,0.96,0,0.32,0.64,0,0.32,1.6,2.56,0.32,0,0.32,0.64
22Month,0,4.92,1.64,0,0,0,21.32,0,1.64,0,1.09,0.55,0.55,0,0.55,0.55,0,0,0,0,1.64,0.55,0,0,0.55,0,0,0,0
