stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,1.07,55.63,3.21,0,1.07,0,0,0,0,0,0
21Day,0,13.39,6.69,0,0,0,0,4.02,0,4.02,0,1.34,270.38,0,6.69,2.68,18.74,0,0,2.68,1.34,0
3Month,0,0.96,0,0,0.64,0,6.4,0,0.64,1.6,0.64,1.28,33.91,0,0,0,0,0,0,0,0,0
22Month,0,0,0,1.09,0,0.55,1.64,0,1.64,9.84,0.55,0.55,0,0,1.09,0,0,4.37,1.64,0,0,0.55
