stage,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0
21Day,2.68,0,0,0,0,0,0,1.34,0,1.34,0,0,4.02,0,0,0
3Month,0,0.32,0.32,0,0.96,0.32,0,0,0,0,0,0,0,0.96,0.32,1.28
22Month,0.55,0,1.09,0,8.2,0,0.55,0,0.55,0.55,0,0,0,1.09,0,0
