stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,5.35,4.28,1.07,0,0,0,0,8.56,0,1.07,0,0,0
21Day,1.34,0,0,2.68,0,4.02,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,2.68,1.34,0,0,0,0,0,34.8,1.34,0,0,1.34,2.68
3Month,1.92,4.48,2.88,39.67,0.32,0,0.96,0.64,7.36,14.4,0,57.27,22.72,2.88,29.76,3.84,13.12,15.36,16.32,1.92,0.64,4.16,11.52,6.4,0.96,3.2,4.48,0,2.24,26.88,3581.51,3.52,0,13.44,833.79,11.2
22Month,0,0.55,0,4.37,0,0,0.55,0,1.09,4.92,0.55,30.61,0.55,0,3.83,0,0,1.09,4.37,0,1.64,0.55,0.55,0.55,0,0,1.09,15.85,1.64,1.09,554.31,2.19,0,0,3.28,1.64
