stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,20.43,0,57.21,0,0,0,0,0,0,8.17,4.09,4.09,0,4.09,4.09,4.09,0,0,0,0
72hpf,142.28,0,2.14,5.35,0,1.07,0,0,38.51,3.21,0,5.35,0,2.14,5.35,5.35,4.28,0,1.07,0
21Day,25.43,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0.32,0,0.32,0,0.32,0.32,0.32,0,0,0.32,0.32,0,0.32,0,0.32,0,0,0,0,0.64
22Month,0.55,0.55,1.64,0,1.09,9.29,0,0,0,0,1.64,1.09,0,0,0,0,0,2.73,0,0
