stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,20.43,12.26,0,20.43,0,4.09,0,0,0,0,0,0,0,8.17,20.43,4.09,36.78,0,0,0,4.09,8.17,163.46,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,9.63,3.21,0,16.05,5.35,26.74,0,0,0,0,0,0,0,4.28,35.3,1.07,37.44,0,2.14,1.07,0,223.59,113.4,2.14,5.35,41.72,2.14,0,12.84,1.07,0,2.14,0,0
21Day,16.06,2.68,2.68,53.54,1.34,30.79,4.02,2.68,1.34,12.05,2.68,14.72,10.71,2.68,26.77,13.39,60.23,1.34,1.34,17.4,0,70.94,33.46,0,0,17.4,14.72,0,1.34,6.69,8.03,1.34,0,10.71
3Month,0,0.32,0.96,2.56,0,0,0,1.92,0.32,2.24,0,0,9.6,0,0.96,0.32,0,0,0,0,0,0,0,0.96,0,0,0.32,1.92,0,0,0,0,0.32,0
22Month,0,0.55,0,2.19,0,0,0,0,0.55,9.29,0,0,4.37,0,0.55,0,0.55,0,0,0,0,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0.55
