stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,4.09,151.2,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,2.14,0,0,0,0,75.96,40.65,0,0,1.07,0,0,8.56,0,1.07,0,0,0
21Day,0,0,4.02,0,1.34,0,0,1.34,0,0,1.34,5.35,0,0,2.68,1.34,2.68,0,0,0,0,22.76,20.08,0,0,0,0,0,0,0,0,0,0,5.35
3Month,0,1.92,3.52,0,0,0.32,0.32,42.87,0,8,23.68,1.28,4.8,0.64,2.88,9.28,2.24,0.32,0,0.96,0.32,1.92,0.96,0.64,0,0,0.96,2.24,0.32,0,0,1.28,22.08,24.32
22Month,0,3.83,1.09,0.55,0,0.55,0,50.84,1.09,16.95,8.2,3.28,0.55,0,0.55,17.49,1.64,0,0.55,0,0,0,0,0,1.09,0,0.55,0.55,0.55,0.55,0,0,0,11.48
