stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,10.7,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,4.02,0,1.34,0,0,2.68,0,0,1.34,0,4.02,1.34,1.34,0,0,0
3Month,0.64,0.32,1.6,6.4,0.96,1.6,0.64,4.8,1.28,16.32,1.28,0.96,1.28,0.64,0.32,0,0.32,0,0.32,0.32,20.48,0,0,0,57.27,0.64
22Month,0,1.09,1.09,1.09,0,1.64,0,5.47,0,22.96,1.09,1.09,1.09,0,0,0,0,0.55,0,0,10.93,0,0,0.55,0,0
