stage,Epithelial_cell,Granulocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,4.09,0,4.09,0,28.6,0
72hpf,0,0,0,0,0,6.42,3.21,0
21Day,0,1.34,0,1.34,1.34,1.34,1.34,2.68
