stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,1.34,0,1.34,0,4.02,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,18.74
3Month,0,0.96,0.96,0.32,0.32,1.6,1.28,0.32,0.32,1.92,0.32,0,0.32,0.32,0,0,4.8,1.28,0,0,0.64,28.16
22Month,0.55,0,2.19,0,0.55,11.48,0,0,0,3.28,0,1.09,0,0.55,0,0,2.73,0.55,0.55,0,0,20.23
