stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,32.69,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0.96,0,0,0,0,1.6,0,0,0.32,0.64,1.6,0,0.96,0,0,0,0.32,0,0,0.32,5.12
22Month,0,0.55,0.55,0.55,2.19,1.09,9.84,1.09,1.09,0,4.92,1.09,0.55,0,0,0,0.55,0,1.64,0.55,0.55,18.04
