stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,42.79,5.35,0,0,1.07,0,0,2.14,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,1.34,0,14.72,1.34,0,1.34,0,1.34,0,0,0,0
3Month,0,1.6,0,0.32,0,0,0,0,0.64,0.96,0,0,0.96,0,0,0.32,0,0,0.32,0.32,0,0.32,0.64,0,0.96,0.32
22Month,0,1.09,0,0,1.64,2.19,12.57,1.09,0.55,0.55,0,1.64,0.55,0.55,0.55,0,1.09,0,0.55,0,0,0,3.28,0,0,0
