stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,4.28,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,6.69,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,24.32,1.92,0.96,0,0.32,0.96,0,1.6,2.56,0.32,0.96,0,0.32,0.32,0.32,0,0.32,0.64,0,0,0.32,0.96,0,0.32,0.32,0
22Month,0,136.12,2.19,0,0.55,0,0.55,0.55,22.96,19.68,1.09,0.55,0.55,0,1.09,4.37,0.55,0,0.55,0,0.55,0,3.83,0.55,0,0,0.55
