stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,2.14,8.56,0,0,165.82,0,0,0,0,0,0
21Day,1.34,2.68,2.68,12.05,1.34,12.05,1.34,0,0,0,16.06,1.34,4.02,0,1.34,13.39,2.68,12.05,0,0,0,14.72,8.03,0,2.68,651.87,0,2.68,2.68,0,0,1.34
3Month,0,0.96,0.32,3.84,0,0,0,0.64,0.96,0,163.81,1.92,0,2.56,0,1.28,0.64,2.24,1.28,0.32,1.6,0,0,0.64,0.32,175.01,2.24,0,0,0.32,1.92,1.28
22Month,0,0,0.55,0.55,0,0,0,1.09,0,0.55,60.13,0.55,0,0.55,0.55,0,0,3.83,0,0.55,0,0.55,0,0,0,65.05,2.19,0,0,0,0,0.55
