stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,2.68,0,0,0,0,0,1.34,45.51,0,0,1.34,14.72,2.68,0,0,0,6.69,1.34,0,0,2.68,1.34,0,0,64.25
3Month,0,0,0.32,16.32,0,0,0.64,10.88,0,3.52,80.63,0.32,0.96,0.96,0.96,16,0.32,0.32,0,0.32,0.32,0.32,0,0,0,0.64,1.28,0.32,30.08
22Month,1.09,1.64,0.55,2.73,0,2.19,0,45.37,0.55,19.13,56.85,0,1.09,0,0,26.24,1.09,0,0.55,0,0.55,0,0.55,0.55,0,0,0,0,39.36
