stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,0,2.14,2.14,0,0,2.14,0,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.96,1.28,0.32,7.36,0.32,2.24,0,0,6.72,2.56,0,1.92,0.32,1.92,9.6,1.6,0.64,0,0.64,0.32,0,0,190.37,0,0,0.96,83.51,0,0,1.28,1.28,2.24
22Month,0,2.19,0,7.11,0,8.2,2.73,0,25.15,0.55,2.19,2.73,0,1.64,10.93,7.11,0.55,2.19,0,0,0.55,0,1473.78,0.55,56.85,0,0.55,0.55,0.55,0,0,0.55
