stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,16.35,12.26,0,0,0,8.17,16.35,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,2.68,0,0,4.02,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,4.02
3Month,0.32,1.6,0,0.32,0,10.56,0,3.2,107.82,0.32,1.6,0,0.64,1.6,1.6,0.32,0,0.64,0,0,0.32,0.64,0.96,0.32,3.52
22Month,1.64,1.64,0.55,0,0.55,11.48,1.09,9.29,73.25,0.55,1.09,0.55,0,2.19,1.09,0,0.55,0,0,0,0,0,0,0,6.01
