stage,Cardiomyocyte,Endothelial.cell,Enterocyte,Epithelial.cell,Epithelial.cell..Brain.,Erythrocyte,Erythrocyte..Liver.,Erythroid.progenitor.cell,Goblet.cell,Granulocyte,Hepatocyte,Immune.cell,Immune.progenitor.cell,Intestinal.bulb.cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal.cell,Mesenchymal.cell..caudal.fin.,Mt.rich.cell,Muscle.cell,Nephron.cell,Neural.cell,Neural.progenitor.cell,Neurosecretory.cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic.cell,Primordial.germ.cell,Radial.glia,Retinal.cone.cell,Retinal.pigment.epithelial.cell,Smooth.muscle.cell,Spermatocyte,T.cell
24hpf,0,16.3456182914007,0,49.0368548742021,0,4.08640457285017,0,8.17280914570035,0,0,0,0,0,0,4.08640457285017,44.9504503013519,36.7776411556516,138.937755476906,0,0,0,0,36.7776411556516,931.70024260984,0,0,0,4.08640457285017,0,0,0,0,8.17280914570035,0,0,0
72hpf,5.34895570733039,4.27916456586431,0,11.7677025561269,1.06979114146608,8.55832913172862,0,0,0,0,0,0,5.34895570733039,0,8.55832913172862,18.1864494049233,3.20937342439823,56.6989304977021,0,2.13958228293216,1.06979114146608,1.06979114146608,75.9551710440915,203.260316878555,0,0,0,22.4656139707876,1.06979114146608,1.06979114146608,8.55832913172862,0,2.13958228293216,0,0,0
21Day,12.0467977938298,0,0,21.4165294112529,1.33853308820331,60.2339889691488,0,32.1247941168794,0,2.67706617640661,1.33853308820331,0,16.0623970584397,0,2.67706617640661,5.35413235281323,2.67706617640661,37.4789264696926,0,0,4.01559926460992,0,17.400930146643,76.2963860275885,0,2.67706617640661,0,12.0467977938298,6.69266544101654,1.33853308820331,4.01559926460992,2.67706617640661,0,0,0,5.35413235281323
3Month,0,0,0,11.518174783951,0,0,0.639898599108391,1.91969579732517,0.639898599108391,5.11918879286713,3.83939159465034,1.91969579732517,2.87954369598776,2.55959439643356,0,0,6.07903669152971,3.19949299554195,0.959847898662586,0,0,0.959847898662586,0.319949299554195,0.319949299554195,0,0,0,0,0.319949299554195,95.3448912671502,0.319949299554195,0,0,2.23964509687937,20.4767551714685,7.67878318930069
22Month,0,0.546654651197433,0.546654651197433,4.9198918607769,0,0,0,1.09330930239487,0,24.5994593038845,12.0264023263435,2.73327325598717,7.10651046556663,7.65316511676407,0,0,12.0264023263435,1.6399639535923,0,0,0,0,0.546654651197433,0.546654651197433,0.546654651197433,0.546654651197433,0.546654651197433,0,0,20.226222094305,0.546654651197433,0,0,0.546654651197433,0,1.6399639535923
