stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Retinal_cell
3Month,0.32,0.64,34.87,0.32,0,0,0
22Month,0,0,57.4,0,0.55,5.47,0.55
