stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,49.04,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,24.52,24.52,0,0,0,0,0,114.42,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,180.79,0,0,8.56,1.07,0,0,0,4.28,0,0,0,0,1.07,6.42,0,14.98,0,2.14,1.07,1.07,333.77,23.54,2.14,0,26.74,2.14,0,8.56,1.07,1.07,1.07,0,0,0
21Day,78.97,0,0,10.71,8.03,0,1.34,0,20.08,1.34,0,9.37,0,0,9.37,10.71,41.49,0,0,1.34,0,129.84,10.71,0,2.68,16.06,8.03,0,10.71,6.69,17.4,1.34,0,0,0
3Month,10.24,0.96,0.64,57.59,0,0.32,0.32,0.96,24,46.07,1.92,0.32,3.52,0,9.6,4.48,8.32,2.24,0,2.56,0.32,5.12,0,1.28,1.28,0.32,0.64,1.92,0.32,0,0,0,0.64,0.32,0.96
22Month,0.55,0.55,1.09,12.03,0,0,0,0.55,27.33,33.89,0.55,1.09,3.83,0.55,0.55,8.2,4.37,0,0.55,0,0,7.65,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
