stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,0,0,9.63,4.28,11.77,0,0,0,2.14,0,0,0,0,0,0,9.63,1.07,32.09,0,1.07,1.07,638.67,277.08,0,8.56,0,49.21,0,0,22.47,1.07,0,4.28,0,0,0
21Day,5.35,0,1.34,10.71,0,4.02,0,1.34,0,0,0,1.34,0,1.34,1.34,2.68,8.03,2.68,56.22,4.02,0,1.34,163.3,50.86,1.34,6.69,0,52.2,6.69,2.68,13.39,4.02,1.34,2.68,0,0,0
3Month,0.32,2.56,0.32,9.28,0,0,0,0.64,0.32,3.2,0,11.52,0.96,0.64,6.4,0.96,4.48,3.84,22.08,8.96,0.32,2.24,0.64,2.24,1.92,0.64,0,0.32,0.32,14.4,1.92,0,0,2.24,1.6,2.56,2.24
22Month,1.09,4.92,0.55,8.75,0,0,1.09,0,0.55,4.92,2.19,75.44,4.37,1.09,11.48,1.64,1.09,9.84,18.59,0.55,1.09,3.83,1.64,1.09,1.09,4.37,1.09,0,0.55,28.43,6.01,0,0,0,0.55,0,6.56
