stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,6.42,9.63,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,49.21,6.42,0,0,1.07,0,0,1.07,0,0,0
21Day,9.37,0,10.71,1.34,2.68,0,0,0,0,1.34,5.35,0,0,1.34,0,10.71,0,5.35,25.43,0,5.35,1.34,0,0,0,0,2.68,1.34,0
3Month,0,0.32,1.92,0.64,0,0.32,0.32,0,1.92,0.32,0,0.32,0,0.64,0.32,0.32,0,0.32,0.96,0,2.88,0,0,0,0.32,0,0,0,0.32
22Month,0,1.09,1.09,0,0,0,1.64,0.55,7.11,0.55,0,1.64,0,0,0.55,1.09,1.09,0.55,1.09,0,4.92,0,0,1.09,3.28,0,0,0,0
