stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neurosecretory_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,2.14,0,0,0
21Day,0,0,0,0,0,1.34,0,2.68,0,0,0
3Month,0,0.32,0.32,0.32,0.32,0,0,2.88,0,0.32,0
22Month,0.55,1.09,0,0,2.19,0,1.64,6.01,0.55,0,1.09
