stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,9.63,2.14,1.07,2.14,0,1.07,0,0,0,0
21Day,1.34,0,4.02,1.34,0,0,0,1.34,1.34,0,1.34,0,6.69,6.69,1.34,1.34,5.35,0,2.68,1.34,1.34,0,1.34
3Month,0,0,0,0,0,0.32,0,0,0.32,0,0.64,0,0,0,0,0,0,0.64,0,0,0,0.96,0
22Month,0,0.55,0,0,0.55,4.92,0.55,0.55,0,0,0,1.64,0.55,0,0,0,0,0.55,0,0,0,0,0
