stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neurosecretory_cell,Oocyte,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0,1.92,0.32,0,0,0.96,0.32,0.32,0.32,0,0.32,1.28,0
22Month,0.55,0,0,0.55,2.73,0,0,0,0.55,5.47,0,0,0.55
