stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,5.35,2.14,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,1.34,0,0,0,0,0
3Month,0,0.64,0,0.32,0.32,0,0.64,0.32,0.32,0,0.32,28.16,0.32,6.08
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
