stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,192.06,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,4.28,1.07,3.21,0,0,0,0,0,0,0,0,1.07,4.28,0,4.28,0,0,0,0,262.1,28.88,2.14,0,2.14,0,0,25.67,0,1.07,0,0,0
21Day,1.34,0,0,4.02,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,0,0,0,52.2,5.35,0,0,0,0,1.34,1.34,1.34,0,0,0,0
3Month,0.32,1.6,1.6,22.4,0,0,0.64,0.64,4.48,3.84,25.92,4.16,0.32,8.64,4.48,2.88,4.8,3.52,0.32,0.32,1.92,4.16,9.6,0.32,2.24,1.6,0,3.52,22.4,0.64,0,0,1.28,1239.48,3.2
22Month,0,0.55,0,8.75,0,0,0,0,0,0.55,6.01,0.55,0,0.55,0,0,1.64,0.55,0,0,0.55,0,2.73,0,0,0,0,0.55,21.87,1.09,0,0.55,0,7.11,0.55
