stage,Cardiomyocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,20.43,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0
21Day,1.34,0,0,0,0,0,0,5.35,0,1.34,0,1.34
22Month,0,0.55,1.09,3.83,0.55,0.55,0.55,0,0,0,0.55,0
