stage,Endothelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,14.72,2.68,1.34,0,0,0,0
3Month,0,0,1.6,0.32,0,0.32,0.32,0.32,40.31,0,0,0.32,0.32,0.32,0.64
22Month,0.55,0.55,4.92,0,0.55,0,0,2.19,41.55,0,0,0,0,0,0
