stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,61.3,0,20.43,12.26,0,0,61.3,0,0,0,0,0,0,0
72hpf,1.07,2.14,24.61,0,0,0,0,0,0,1.07,0,12.84,4.28,0,2.14,0,21.4,2.14,0,0,1.07,1.07,0,0,0
21Day,0,9.37,6.69,4.02,1.34,0,0,5.35,12.05,13.39,0,20.08,2.68,0,2.68,0,10.71,5.35,1.34,0,0,0,0,0,4.02
3Month,0,2.24,2.24,0,0,1.28,1.92,2.24,12.16,1.6,1.92,12.48,0.64,1.92,1.6,0,0.32,0.32,0,0.64,0,0,0.32,0.64,5.76
22Month,0,0,0.55,0,0,0,0.55,9.29,12.57,2.73,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55
