stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,1.07,44.93,2.14,7.49,1.07,0,1.07,1.07,2.14,2300.05,2.14,19.26,1.07,109.12,52.42,16.05,0,0,4.28,0,0,0
21Day,0,0,93.7,0,4.02,0,1.34,0,0,2.68,301.17,0,6.69,0,1.34,1.34,1.34,4.02,0,0,5.35,1.34,1.34
3Month,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0.32
22Month,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
