stage,Epithelial_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Nephron_cell,Neural_cell,Primordial_germ_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,1.34,8.03,4.02,0,1.34,0,1.34,0
3Month,0.96,0.32,0.64,0,1.6,0.32,0,0.32,0,0.32
