stage,Epithelial_cell__Brain_,Hepatocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
21Day,1.34,0,2.68,0,0,0
3Month,0,0.32,0,0.32,0.32,0.32
