stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.27,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,2.14,0,0,0,0,0,0,0,73.82,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,8.03,0,4.02,0,2.68,0,1.34,0,0,0,25.43,0,0,4.02,191.41,9.37,0,0,0,0,8.03,10.71,0,0,0,4.02,0,0,1.34,1.34,1.34,0,0,20.08
3Month,0.32,2.88,0.32,47.35,0.64,0,0.96,1.6,0.96,32.31,0,17.6,11.2,6.72,9.6,1.6,7.36,865.78,10.24,2.56,0.32,1.92,0.96,1.92,0,1.6,0.64,0,5.76,3.52,0.96,0.32,0,0.64,3.52,4.8,136.3
22Month,0,4.37,0.55,13.12,0,0,3.28,0,0.55,34.99,1.64,28.43,6.01,4.37,3.28,1.64,1.09,825.45,3.83,0.55,1.64,0,0,0,0,0.55,1.09,0.55,1.09,2.19,0,0,0,0,0,0,82
