stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,0,8.17,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,2.14,2.14,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,3.52,35.51,0.32,1.28,0.64,0.32,0.32,0.32,0,0,0,10.56,0,0.32,5.12
22Month,0,0,6.01,0,0.55,0,0,0,0,0,0,0,2.19,0.55,0,0
