stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,1.07,5.35,0,1.07,55.63,5.35,1.07,0,8.56,0,0,3.21,0,0,0,0
21Day,1.34,0,0,2.68,0,0,0,0,2.68,0,0,1.34,0,0,4.02,2.68,9.37,0,0,16.06,2.68,0,0,8.03,4.02,0,5.35,1.34,0,0,2.68
3Month,0,1.6,1.92,12.48,0,0,0.64,1.92,1.92,2.56,1.92,0.96,3.84,0.64,2.56,6.4,7.04,0.64,3.52,1.28,0.64,0.64,0.96,0.32,0,3.84,0,0,6.72,3.2,7.04
22Month,0,0,0.55,3.83,0,0.55,0,0,3.28,2.73,1.09,0.55,3.28,0,0,3.28,1.64,0.55,1.64,0.55,0,0.55,0,0.55,0,0,0,0,0.55,0,1.64
