stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,57.21,8.17,0,65.38,4.09,20.43,0,0,4.09,4.09,0,0,0,4.09,69.47,40.86,163.46,0,0,85.81,1422.07,0,40.86,0,0,0,0,8.17,0
72hpf,6.42,0,0,0,1.07,1.07,1.07,0,0,0,0,0,1.07,9.63,28.88,0,9.63,1.07,0,41.72,42.79,1.07,13.91,2.14,0,4.28,0,0,0
21Day,4.02,2.68,0,8.03,0,2.68,1.34,0,0,0,0,0,0,1.34,2.68,0,12.05,0,0,13.39,8.03,1.34,5.35,1.34,1.34,2.68,1.34,0,0
3Month,0.32,0,0,1.28,0,0,0,0.64,0,0,1.28,0.32,0,0,0.32,0,0,0,0.64,0,0,0.32,0,0,18.56,0,0,0,3.52
22Month,0,0,0.55,0,0,0,0,0,0,0,4.92,0,0.55,0,0,1.64,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0
