stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,3.2,3.84,0.32,0.64,3.84,1.6,0.32,0.96,0.32,0.64,0,0.64,0.32,0.32,9.92,0,0,0.32,0.32,0.64
22Month,1.09,2.19,1.64,1.09,18.04,1.09,0,2.19,0,0,0.55,0,0,0,0.55,0,0.55,0,0,0.55
