stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,12.26,0,57.21,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,24.52,0,0,0,4.09,69.47,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,8.56,0,0,0,0,0,0,0,0,2.14,0,2.14,21.4,0,9.63,0,0,0,3.21,4.28,0,10.7,0,0,2.14,0,0,0
21Day,4.02,0,0,26.77,1.34,0,2.68,0,1.34,0,1.34,0,1.34,0,0,5.35,0,9.37,0,0,0,2.68,0,0,4.02,0,0,0,0,0,0
3Month,0.32,1.92,0.32,19.84,0,0.32,0.96,3.52,2.56,0,5.76,5.12,1.28,3.52,1.28,5.76,4.16,4.16,0.32,1.6,0.32,0.32,0,0.32,0.64,0.64,8.64,0.64,0.96,1.6,1.92
22Month,0,1.09,0.55,7.65,0,0,0,2.19,2.19,0.55,16.4,2.19,1.64,4.37,0.55,0.55,6.56,3.28,0,1.09,0,0,0,0.55,0,0.55,0,1.09,0,0,1.09
