stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
3Month,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0
22Month,1.64,3.83,0.55,0.55,1.09,15.85,0.55,1.64,0.55,3.83,0.55,0,1.64,0.55
