stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,77.64,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,115.54,16.05,1.07,3.21,2.14,0,0,0,0,0,1.07,0,4.28,0,0,3.21,0,0,0,0,7.49,2.14,1.07,0,0,2.14,0,0,0
21Day,12.05,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,2.68,0,0,0,0,0,0,0
3Month,5.12,41.27,5.44,0,0.96,0.64,1.28,0,4.16,0.64,0.32,1.6,0,0,0.96,1.92,0.32,0,2.88,0.96,0,0.32,0,0.64,10.24,0,0.32,3.52,0.64
22Month,1.64,31.71,4.37,0,0,0,2.19,2.19,19.13,0.55,0.55,3.28,0,0.55,3.83,2.73,0,0.55,2.19,0,1.64,0,0,0,3.28,0,0,0,0.55
