stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,1.07,0,7.49,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,2.68,0,0,0,12.05,0,0,0,1.34,0,0,1.34
3Month,0,1.6,0,0,0.32,0.32,0,1.6,0.64,0.32,0.96,0.32,0.64,1.92,0.96,1.6,0,0.96,0,0.32,9.92,0,0,0.32,25.92,0.32
22Month,0.55,0.55,0,0.55,0.55,0,0.55,9.29,0,0,0,0,0,13.12,0,1.09,0,0.55,0,0,2.73,0.55,0,0,0,0
