stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,4.09,0,8.17,57.21,0,0,0,0,24.52,604.79,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,7.49,5.35,2.14,0,0,0,0,0,0,0,0,2.14,33.16,1.07,48.14,0,0,1.07,0,139.07,148.7,0,0,47.07,1.07,0,18.19,0,5.35,0,0,0
21Day,6.69,0,2.68,9.37,4.02,12.05,0,1.34,0,0,0,0,1.34,4.02,0,9.37,1.34,124.48,0,0,0,1.34,89.68,93.7,5.35,1.34,20.08,6.69,0,5.35,2.68,0,0,0,0
3Month,0.32,0.32,0.32,26.88,0.64,0,0.64,0,2.24,0,3.2,3.2,0,1.92,0.96,5.12,0.96,54.71,4.8,0,0.96,0.96,3.52,0.96,0.96,0,0.64,0.96,4.8,0.96,0,0,0.96,16.32,0.96
22Month,0,0,0,4.37,2.19,0,1.09,0,2.19,0,9.29,2.73,0,1.09,0,4.92,1.09,28.43,1.09,1.09,0,0,0,2.73,3.28,0,0,0.55,3.83,3.83,0,0,0,0,0
