stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,20.43,16.35,0,0,0,0,0,0
72hpf,0,1.07,2.14,3.21,3.21,0,0,0,0,0,1.07,5.35,4.28,1.07,156.19,4.28,5.35,0,0,0,0,0
21Day,0,0,4.02,0,1.34,0,1.34,0,1.34,0,0,0,4.02,1.34,80.31,6.69,5.35,2.68,0,1.34,1.34,1.34
3Month,0.64,0,0.64,0,0,0.32,0,0.64,0,0,0,0.32,0.32,0,0.64,0,0,0,0.32,0.96,0,0.32
22Month,0,0,0,0,0,0,0,4.37,0,0.55,0,0,0.55,0,0.55,0,0,0,4.37,2.19,0,0
