stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,6.42,0,8.56,0,0
21Day,0,4.02,2.68,0,0,0,0,0,0,2.68,1.34,4.02,0,0
3Month,0,1.6,0,0,0,1.28,0.32,0.32,0.64,0.64,0.64,0.32,0.32,2.56
22Month,0,0.55,0,0.55,0,2.19,0,0,0,0,0.55,0,0,0
