stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,40.86,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,16.05,16.05,0,125.17,2.14,2.14,0,0,0,0,1.07,2.14,148.7,0,100.56,0,0,18.19,13.91,5.35,1.07,0,66.33,0,0,3.21,0,1.07,4.28,0,0,0
21Day,17.4,6.69,2.68,208.81,1.34,8.03,0,1.34,0,0,5.35,2.68,109.76,13.39,97.71,0,5.35,6.69,5.35,2.68,0,0,18.74,8.03,1.34,1.34,1.34,1.34,5.35,2.68,0,0
3Month,0,1.6,0,12.48,0,0,0.32,0.32,1.28,0.64,0,3.2,7.36,1.92,4.8,0,0.32,0,0,1.28,0.32,0,0,0,0.32,0,0,0,0,7.04,0.32,0.64
22Month,0,0,0,1.09,0,0,0,0,1.09,0,0.55,0,0,0.55,0.55,0.55,0,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0
