stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia
72hpf,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,0,0,31.02,2.14,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,12.05,1.34,0,0,0
3Month,0,0.32,0,0,0,0,0,1.6,0.32,0.32,0,0,0.32,0,0,0.64,0,0.32,0.96,0
22Month,0.55,0.55,0,0,0.55,0.55,1.09,174.93,0,1.64,0,1.09,1.09,1.64,0,0,0,0.55,1.09,0.55
