stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,3.21,159.4,0,1.07,0,0,0,0,0,0,0,0,6.42,0,1.07,0,0,0,0,8.56,2.14,0,4.28,0,0,1.07,0,0,0,0
21Day,1.34,0,0,2.68,109.76,1.34,0,0,0,0,0,0,0,0,1.34,2.68,0,4.02,0,1.34,0,0,8.03,2.68,0,1.34,1.34,1.34,1.34,0,1.34,0,4.02
3Month,0,0.64,0.64,7.04,33.27,0,0.32,0.32,0.64,5.44,23.36,1.28,0.32,6.72,0.64,2.88,1.92,1.92,0.64,0,0.96,0.64,0.64,0,0,0,1.6,48.63,2.24,0,0.32,16.32,0.64
22Month,0.55,0,1.09,4.92,3.28,0,0,0.55,2.73,1.09,52.48,1.09,0,4.92,0,1.64,4.37,3.83,0.55,1.64,0.55,0,0,0,0.55,0,0,13.67,6.01,0.55,0,0,2.19
