stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,118.51,0,0,0,0,0,0,0,0,0,0,0
72hpf,82.37,0,0,0,1.07,2.14,1.07,3.21,0,0,0,0
21Day,133.85,4.02,0,1.34,12.05,2.68,4.02,0,1.34,0,0,0
3Month,22.72,0.32,0.32,0,0,0,0,0,0.32,1.6,0.64,0.64
