stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,1.07,0,1.07,0,2.14,0,0,3.21,0,0
21Day,0,0,2.68,1.34,0,0,0,1.34,2.68,0,1.34,0,1.34,0,1.34,0,0,0
3Month,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0.32
22Month,0,0,0,0,0.55,0.55,3.28,0,0,0.55,0.55,0,0,0,0,0,0.55,0
