stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,1.07,0,0,0,1.07,0,0,0,7.49,1.07,0,0,0,4.28,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,1.34,1.34,4.02,0,4.02,0,12.05,0,0,6.69,18.74,0,1.34,1.34,14.72,4.02,0,12.05,0,4.02,2.68,1.34,0,0,0,0,0,2.68,0,0,2.68
3Month,0.32,0.64,4.48,0,0.32,0,2.88,21.12,0,4.16,16.32,0.32,1.92,1.92,7.68,12.8,1.28,0,1.92,0.64,0,0,0.64,0,0,0.32,0.32,4.48,0,0.64,0.64,3.2
22Month,0.55,0,4.37,0,0.55,0,1.64,62.32,0.55,13.67,15.85,1.09,0.55,0,3.83,51.39,4.37,0.55,2.19,0.55,0.55,0,0.55,0.55,0,0,0,0.55,0,0,0,4.92
