stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,61.3,16.35,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,155.28,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,6.42,0,0,0,0,0,0,0,0,1.07,1.07,3.21,6.42,0,1.07,0,0,49.21,31.02,0,1.07,10.7,1.07,0,1.07,0,0,0,0
21Day,9.37,0,13.39,9.37,2.68,0,1.34,0,0,0,1.34,0,1.34,0,5.35,37.48,0,0,4.02,0,8.03,48.19,0,0,12.05,1.34,0,2.68,0,0,0,1.34
3Month,0,1.28,4.48,0,0.32,0.64,3.2,0.32,29.12,0.96,0,2.24,0.32,6.08,15.68,4.48,0.64,0.32,1.28,0.64,0,0,0.32,0,0.32,0.64,14.72,0,0,0.96,2.56,0.64
22Month,0,1.64,3.83,0,0,0,9.29,3.28,109.33,1.64,1.09,8.2,0.55,1.09,24.6,4.92,0,7.11,0.55,0,0,0,0,1.09,0.55,0,30.07,0,0.55,0,0,1.09
