stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,0,0,1.07,1.07,3.21,0,0,0,0,0,0,1.07,3.21,0,2.14,0,0,0,7.49,3.21,0,0,3.21,0,0,3.21,0,0,0,0,0,0
21Day,5.35,0,0,4.02,0,6.69,0,2.68,0,0,0,1.34,1.34,4.02,1.34,4.02,0,0,0,0,5.35,1.34,1.34,5.35,0,0,1.34,1.34,2.68,0,0,0,0
3Month,0,0.32,0.64,6.72,0,0,0.32,0,0.64,1.6,10.24,14.4,3.2,1.92,1.92,2.24,0.32,0.96,0.64,0.64,0,0.96,0.32,0,0.32,8.64,0.96,0,0,0,1.28,163.49,1.92
22Month,0,0.55,0,1.09,0,0,0,0.55,0,0.55,7.11,4.92,0.55,0,1.09,0.55,0,0,0,0,0,0.55,0,0,0,1.64,0,0,0,0.55,0,0,1.64
