stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,8.17,61.3,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,1.07,0,0,1.07,0,0,0,0,0,0,1.07,0,1.07,0,12.84,0,0,0,198.98,44.93,1.07,1.07,12.84,0,0,4.28,2.14,0,0,0,0,0
21Day,4.02,0,4.02,0,4.02,0,2.68,0,0,0,0,0,0,2.68,0,2.68,0,26.77,0,5.35,0,82.99,12.05,0,4.02,13.39,2.68,0,0,2.68,4.02,1.34,0,0,1.34
3Month,0,0.64,3.84,0,0,0,0,0.32,0.32,0.64,0,5.44,1.6,0,0.96,1.6,0.96,9.28,1.28,1.92,0.32,0.96,0.32,0.64,0.64,0,0,17.6,0,0,0,0.32,0.96,99.5,0.64
22Month,0,0.55,1.64,0,0,0.55,0,0,0,0.55,0.55,18.04,0.55,0,0.55,0,0.55,16.4,0,0,0,1.09,0.55,1.09,0.55,0,0.55,3.83,0.55,0.55,0,0,0,0,0.55
