stage,Epithelial_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,4.09,8.17,4.09,0
72hpf,0,0,0,0,0,1.07
22Month,1.09,0.55,0,0,0,0
