stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,73.56,0,0,0,0,0,0,0,8.17,0,0,0,0,4.09,4.09,8.17,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,35.3,3.21,1.07,0,0,0,2.14,0,0,0,0,0,0,4.28,65.26,2.14,6.42,0,0,0,54.56,14.98,1.07,0,9.63,0,0,2.14,0,3.21,0,0,0
21Day,5.35,1.34,8.03,103.07,1.34,6.69,0,0,0,9.37,0,0,0,1.34,17.4,0,1.34,96.37,10.71,41.49,0,0,10.71,66.93,14.72,0,33.46,9.37,9.37,2.68,1.34,8.03,9.37,0,0,8.03
3Month,0.32,2.88,0.32,7.68,0,0,0,0.32,1.28,27.84,0,0,6.08,5.44,0.96,2.56,0.64,10.56,5.76,2.24,0.64,0,11.84,0.64,0.32,0.32,4.16,0.96,0,2.56,0,0,0,0.32,1.92,2.56
22Month,0,4.37,0.55,7.65,0,0,1.09,0,1.09,67.79,1.64,0,17.49,9.84,3.83,3.28,0,1.09,12.03,3.83,0.55,1.64,14.21,1.09,0,0.55,9.84,0,0,0.55,0,0,0,0,0,3.83
