stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,5.35,0,0,0,0,0,0,0,0,0,6.69,0,1.34,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0,0.32,64.95,0.32,0,0,3.84,8.64,2.88,0.32,3.2,0.96,69.11,2.56,2.56,0.32,0,1.6,1.28,0.96,0,0.32,0.64,11.84,0,1.28,2.88,3.52
22Month,1.09,0.55,4.92,0,0.55,0.55,4.92,12.03,0,0.55,2.73,0,0.55,1.09,1.64,0,1.09,0,0,0,0,0,0,0,0,0,0,1.64
