stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0
72hpf,0,1.07,1.07,0,0,0,1.07,12.84,13.91
21Day,0,0,1.34,0,0,1.34,0,4.02,1.34
22Month,0,0,0,2.19,0.55,0,0,0,0
