stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,57.21,4.09,14633.41,0,8.17,0,0,0,12.26,0,0,0,0,20.43,93.99,61.3,147.11,0,0,0,4.09,44.95,682.43,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,32.09,6.42,1323.33,3.21,28.88,0,0,0,0,0,0,0,1.07,14.98,5130.72,1.07,35.3,0,1.07,2.14,0,254.61,125.17,3.21,2.14,84.51,0,0,22.47,0,5.35,11.77,0,0
21Day,4.02,0,160.62,1.34,6.69,1.34,0,1.34,0,1.34,1.34,5.35,4.02,4.02,696.04,4.02,25.43,0,0,1.34,0,26.77,4.02,1.34,0,6.69,5.35,0,1.34,1.34,2.68,1.34,0,1.34
3Month,0,0,35.83,0,0,0,0.32,0,0,2.24,0.64,0,0.64,0.32,2.24,0,2.88,0.64,0,0,0,0,0,0.32,0,0,0.32,0.32,0,0,0,0,4.8,0
22Month,0,0,9.29,0,0,0,0,0,0,3.28,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
