stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,53.12,0,0
72hpf,8.56,11.77,0,25.67,2.14,25.67,0,0,0,0,1.07,0,1.07,0,4.28,28.88,3.21,28.88,0,2.14,7.49,0,237.49,89.86,0,1.07,47.07,2.14,0,10.7,3.21,1.07,5142.49,0,0
21Day,18.74,4.02,8.03,42.83,2.68,61.57,0,1.34,0,4.02,8.03,1.34,21.42,5.35,8.03,24.09,24.09,82.99,0,0,6.69,0,54.88,44.17,1.34,1.34,17.4,36.14,0,1.34,1.34,16.06,1748.12,0,2.68
3Month,0,0,0,5.12,0,0,0.96,0,1.28,0.96,20.16,0.96,0,1.92,0,0.96,1.28,1.6,0.32,0,0,0.64,0,0,8,0,0.32,0,0.96,0,0,0,87.03,0.32,0.64
22Month,0,0,0.55,0,0,0,0,0,0,0,7.11,0,0,1.09,0,0.55,0.55,0,0,0.55,0.55,0,0,0,2.19,0,0,0,1.64,0,0,0,0,0,0
