stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0
21Day,1.34,2.68,0,0,0,0,0,1.34,1.34,0,0
3Month,1.28,0.32,0.32,0,0.32,0,0.32,0.32,0,0.32,0.32
22Month,0,0,0,2.19,0,0,1.09,0,0,0.55,0
